packet_index,strategy_id,path_id,sequence_num,fragment_id,total_fragments,send_delay_ms,arrival_time_ms,ip_id_decimal,ip_id_hex,target_packet_length,packet_length,payload_bytes,analysis_hint
203,5,1,1,203,444,0.0,0.0,55068,0xd71c,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
204,5,0,1,204,444,0.0,0.0,53610,0xd16a,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
205,5,1,1,205,444,0.0,0.0,55066,0xd71a,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
206,5,2,1,206,444,0.0,0.0,56299,0xdbeb,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
207,5,1,1,207,444,0.0,0.0,55064,0xd718,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
208,5,2,1,208,444,0.0,0.0,56309,0xdbf5,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
209,5,0,1,209,444,0.0,0.0,53623,0xd177,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
210,5,0,1,210,444,0.0,0.0,53620,0xd174,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
211,5,1,1,211,444,0.0,0.0,55044,0xd704,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
212,5,2,1,212,444,0.0,0.0,56305,0xdbf1,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
213,5,0,1,213,444,0.0,0.0,53619,0xd173,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
214,5,1,1,214,444,0.0,0.0,55041,0xd701,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
215,5,2,1,215,444,0.0,0.0,56306,0xdbf2,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
216,5,0,1,216,444,0.0,0.0,53630,0xd17e,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
217,5,1,1,217,444,0.0,0.0,55054,0xd70e,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
218,5,2,1,218,444,0.0,0.0,56319,0xdbff,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
219,5,1,1,219,444,0.0,0.0,55052,0xd70c,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
220,5,2,1,220,444,0.0,0.0,56313,0xdbf9,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
221,5,0,1,221,444,0.0,0.0,53627,0xd17b,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
222,5,0,1,222,444,0.0,0.0,53624,0xd178,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
223,5,1,1,223,444,0.0,0.0,55048,0xd708,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
224,5,2,1,224,444,0.0,0.0,56261,0xdbc5,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
225,5,0,1,225,444,0.0,0.0,53575,0xd147,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
226,5,2,1,226,444,0.0,0.0,56263,0xdbc7,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
227,5,1,1,227,444,0.0,0.0,55092,0xd734,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
228,5,0,1,228,444,0.0,0.0,53570,0xd142,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
229,5,1,1,229,444,0.0,0.0,55090,0xd732,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
230,5,2,1,230,444,0.0,0.0,56259,0xdbc3,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
231,5,1,1,231,444,0.0,0.0,55088,0xd730,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
232,5,2,1,232,444,0.0,0.0,56269,0xdbcd,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
233,5,0,1,233,444,0.0,0.0,53583,0xd14f,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
234,5,0,1,234,444,0.0,0.0,53580,0xd14c,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
235,5,1,1,235,444,0.0,0.0,55100,0xd73c,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
236,5,2,1,236,444,0.0,0.0,56265,0xdbc9,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
237,5,0,1,237,444,0.0,0.0,53579,0xd14b,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
